Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean daily wind run (km) for years 2002 to 2018 ,372,345,337,284,300,297,338,369,374,351,360,364,341,15,2002,2018
Maximum wind gust speed (km/h) for years 1972 to 2018 ,102,98,100,115,106,91,108,102,104,102,108,104,115,35,1972,2018
Date of Maximum wind gust speed for years 1972 to 2018 ,3-Jan-74,16-Feb-83,26-Mar-84,30-Apr-74,20-May-77,6-Jun-88,28-Jul-89,1-Aug-76,3-Sep-82,9-Oct-16,13-Nov-76,25-Dec-89,30-Apr-74,N/A,1972,2018
Mean daily sunshine (hours) for years null to null , , , , , , , , , , , , , ,, , 
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2018 ,24.6,21.4,16.6,11.2,7.5,6.1,6.9,9.8,13.6,18.2,21.8,24.4,15.2,28,1990,2018
Mean number of clear days for years 1971 to 2010 ,1.3,1.8,1.7,0.8,1,0.8,0.9,0.6,0.9,1,0.9,1.2,12.9,24,1971,2010
Mean number of cloudy days for years 1971 to 2010 ,2.5,2.8,3.3,4.3,5,5,4.4,4.7,4.3,3.5,3.7,3.8,47.3,24,1971,2010
Mean daily evaporation (mm) for years null to null , , , , , , , , , , , , , ,, , 
Mean 9am temperature (Degrees C) for years 1971 to 2010 ,18.5,18.5,17.2,14.8,12,9.4,8.9,10.2,12.3,14.4,15.7,17.2,14.1,39,1971,2010
Mean 9am wet bulb temperature (Degrees C) for years 1971 to 2010 ,15.1,15.3,14.4,12.5,10.6,8.3,7.5,8.4,9.8,11.3,12.7,13.8,11.6,35,1971,2010
Mean 9am dew point temperature (Degrees C) for years 1971 to 2010 ,12.1,12.8,11.9,10.2,8.9,7,6.1,6.3,7.2,8.3,9.8,10.8,9.3,39,1971,2010
Mean 9am relative humidity (%) for years 1971 to 2010 ,68,72,73,76,83,85,83,78,73,69,70,68,75,39,1971,2010
Mean 9am cloud cover (okas) for years 1971 to 2010 ,5.3,4.8,5.3,5.4,5.7,5.6,5.6,5.7,5.5,5.3,5.6,5.4,5.4,25,1971,2010
Mean 9am wind speed (km/h) for years 1971 to 2010 ,15.2,12.7,13.6,13.3,13,13.6,15.6,17.8,18.8,18.6,15.9,16.1,15.4,38,1971,2010
Mean 3pm temperature (Degrees C) for years 1971 to 2010 ,23.2,24.4,22.2,18.9,15.9,13.1,12.5,13.7,15.3,17.4,19.4,21.8,18.2,39,1971,2010
Mean 3pm wet bulb temperature (Degrees C) for years 1971 to 2010 ,17,17.6,16.4,14.3,12.5,10.4,9.6,10.2,11.4,12.7,14.3,15.8,13.5,35,1971,2010
Mean 3pm dew point temperature (Degrees C) for years 1971 to 2010 ,12.2,12.4,11.5,10.1,9.1,7.5,6.4,6.2,7.4,8.3,9.8,11,9.3,39,1971,2010
Mean 3pm relative humidity (%) for years 1971 to 2010 ,53,51,54,59,65,70,67,62,61,58,57,54,59,39,1971,2010
Mean 3pm cloud cover (oktas) for years 1971 to 2010 ,3.6,4,4.7,5.2,5.5,5.7,5,5.4,5.5,5.1,4.7,5,5,24,1971,2010
Mean 3pm wind speed (km/h) for years 1971 to 2010 ,23.3,22,21.2,19.5,18.2,18.9,20.5,22,22.7,23,22.6,23.1,21.4,23,1971,2010
