Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Date of Lowest temperature for years 1939 to 2018 ,22-Jan-40,20-Feb-63,26-Mar-05,30-Apr-09,24-May-08,17-Jun-69,4-Jul-63,20-Aug-03,17-Sep-49,9-Oct-39,4-Nov-70,3-Dec-55,17-Jun-69,N/A,1939,2018
Highest minimum temperature (Degrees C) for years 1939 to 2018 ,28.8,26.2,25.3,22.5,17.1,13.1,13.2,14.7,18.2,21.3,22.7,26.2,28.8,49,1939,2018
Date of Highest minimum temperature for years 1939 to 2018 ,15-Jan-14,22-Feb-67,13-Mar-13,2-Apr-14,3-May-42,1-Jun-13,19-Jul-13,4-Aug-11,30-Sep-44,28-Oct-07,21-Nov-59,26-Dec-16,15-Jan-14,N/A,1939,2018
Decile 1 minimum temperature (Degrees C) for years 1939 to 2018 ,9.7,10,8.4,6,3.8,2.1,1.7,2.3,2.9,4.4,6,8, ,49,1939,2018
Decile 9 minimum temperature (Degrees C) for years 1939 to 2018 ,18,18,16.9,13.9,11.9,9.6,8.7,9,10.7,12.7,14.6,16.2, ,49,1939,2018
Mean number of days <= 2 Degrees C for years 1939 to 2018 ,0,0,0,0,0.7,2.9,3.7,2.7,1.5,0.3,0,0,11.8,49,1939,2018
Mean number of days <= 0 Degrees C for years 1939 to 2018 ,0,0,0,0,0,0.7,1,0.6,0.2,0,0,0,2.5,49,1939,2018
Mean daily ground minimum temperature Degrees C for years null to null , , , , , , , , , , , , , ,, , 
Lowest ground temperature Degrees C for years null to null , , , , , , , , , , , , , ,, , 
Date of Lowest ground temperature  for years null to null , , , , , , , , , , , , , ,N/A, , 
Mean number of days ground min. temp. <= -1 Degrees C for years null to null , , , , , , , , , , , , , ,, , 
Mean rainfall (mm) for years 1929 to 2018 ,42.6,45.1,39.3,54.3,48.3,40,43.6,48.1,51.4,59.5,58,52.3,587.4,69,1929,2018
Highest rainfall (mm) for years 1929 to 2018 ,224.1,195.5,154.1,162.7,140.1,115,101.9,99,113,153.6,183.6,152.7,817.9,72,1929,2018
Date of Highest rainfall for years 1929 to 2018 ,1963,1973,1970,1935,1974,2013,1936,1975,1960,1934,1954,1933,1974,N/A,1929,2018
Lowest rainfall (mm) for years 1929 to 2018 ,0.4,0.5,1.9,7.6,3.3,8,12.8,14.8,11,6.8,7,1.3,350.4,72,1929,2018
Date of Lowest rainfall for years 1929 to 2018 ,2009,1965,1948,1981,1934,1974,1979,2011,2008,2006,1937,1972,1938,N/A,1929,2018
Decile 1 monthly rainfall (mm) for years 1929 to 2018 ,8.3,4.1,9.6,16.2,16.3,17.7,19.8,22.9,19.4,18.4,23.7,15.9,427.6,72,1929,2018
Decile 5 (median) monthly rainfall (mm) for years 1929 to 2018 ,32,33.2,31.9,45.2,46,33.1,41.8,45.4,49.2,56.3,48,45.6,604,72,1929,2018
Decile 9 monthly rainfall (mm) for years 1929 to 2018 ,76.1,110.4,80.3,113.8,83.8,66.3,67.7,72.9,86.8,116.1,110.8,96.8,760.4,72,1929,2018
Highest daily rainfall (mm) for years 1929 to 2018 ,112.8,118,67.6,100,58.4,68.6,42.7,34.4,54,89.4,89.4,52.6,118,63,1929,2018
Date of Highest daily rainfall for years 1929 to 2018 ,29-Jan-63,3-Feb-05,20-Mar-70,8-Apr-77,15-May-74,1-Jun-13,11-Jul-33,17-Aug-83,13-Sep-77,16-Oct-83,19-Nov-78,15-Dec-33,3-Feb-05,N/A,1929,2018
Mean number of days of rain for years 1929 to 2018 ,7.3,7.3,8.8,11.1,13.2,13.4,15.2,15.6,14.3,13.1,11.7,10.3,141.3,72,1929,2018
Mean number of days of rain >= 1 mm for years 1929 to 2018 ,4.4,4.2,5.2,6.7,7.3,7.1,7.6,8.8,8.1,7.6,6.9,6.1,80,63,1929,2018
Mean number of days of rain >= 10 mm for years 1929 to 2018 ,1.2,1.1,0.9,1.5,1.1,0.7,0.7,0.8,1.1,1.5,1.5,1.4,13.5,63,1929,2018
Mean number of days of rain >= 25 mm for years 1929 to 2018 ,0.3,0.4,0.2,0.4,0.1,0,0.1,0.1,0.1,0.2,0.3,0.4,2.6,63,1929,2018
Mean daily wind run (km) for years 2003 to 2018 ,401,374,360,320,328,327,374,396,409,387,381,389,371,15,2003,2018
Maximum wind gust speed (km/h) for years 1939 to 2018 ,117,117,115,108,100,106,124,130,147,121,115,122,147,48,1939,2018
Date of Maximum wind gust speed for years 1939 to 2018 ,4-Jan-46,28-Feb-57,24-Mar-41,8-Apr-66,17-May-40,10-Jun-47,1-Jul-42,4-Aug-47,6-Sep-48,21-Oct-48,12-Nov-46,30-Dec-47,6-Sep-48,N/A,1939,2018
Mean daily sunshine (hours) for years null to null , , , , , , , , , , , , , ,, , 
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2018 ,24.3,21.2,16.6,11.3,7.8,6.2,6.9,9.9,13.2,17.8,21.4,24,15.1,28,1990,2018
Mean number of clear days for years 1939 to 2010 ,6.6,5.7,6.4,4.1,3.2,3.1,2.8,3.2,4,3.6,3.1,4.7,50.5,34,1939,2010
Mean number of cloudy days for years 1939 to 2010 ,11,10.7,12.3,14.8,18,17.1,17,15.3,14.4,17,16.9,14.3,178.8,34,1939,2010
Mean daily evaporation (mm) for years null to null , , , , , , , , , , , , , ,, , 
Mean 9am temperature (Degrees C) for years 1939 to 2010 ,19.1,18.7,17.1,14.1,10.8,8.5,7.8,8.9,11.4,13.8,15.7,17.8,13.6,41,1939,2010
Mean 9am wet bulb temperature (Degrees C) for years 1939 to 2010 ,14.5,14.8,13.6,11.5,9.2,7.3,6.5,7.3,8.9,10.5,12,13.3,10.8,37,1939,2010
Mean 9am dew point temperature (Degrees C) for years 1941 to 2010 ,10.6,11.9,10.7,9.1,7.6,6,5.1,5.5,6.3,7.3,8.3,9.5,8.2,29,1941,2010
Mean 9am relative humidity (%) for years 1941 to 2010 ,60,66,68,72,81,84,83,79,72,66,63,61,71,29,1941,2010
Mean 9am cloud cover (okas) for years 1939 to 2010 ,5,5.1,5,5.4,5.5,5.6,5.4,5.2,5.1,5.6,5.9,5.4,5.4,35,1939,2010
Mean 9am wind speed (km/h) for years 1939 to 2010 ,17.9,16.6,15.8,15,15,15.6,17.5,18.5,20.9,20.9,20,18.5,17.7,40,1939,2010
Mean 3pm temperature (Degrees C) for years 1939 to 2010 ,24.2,23.8,22.4,18.7,15.1,12.7,11.9,13.1,15.3,17.5,19.9,22.3,18.1,40,1939,2010
Mean 3pm wet bulb temperature (Degrees C) for years 1939 to 2010 ,16.5,16.7,15.8,13.5,11.4,9.8,9,9.5,10.9,12.3,13.9,15.2,12.9,37,1939,2010
Mean 3pm dew point temperature (Degrees C) for years 1941 to 2010 ,10.3,11.4,10.1,8.6,7.6,6.6,5.6,5.6,6.2,7.3,8.2,9,8,28,1941,2010
Mean 3pm relative humidity (%) for years 1941 to 2010 ,46,49,48,53,62,67,66,62,57,54,50,47,55,28,1941,2010
Mean 3pm cloud cover (oktas) for years 1939 to 2010 ,4.1,4.4,4.6,5.4,5.8,5.8,5.8,5.5,5.4,5.5,5.5,4.9,5.2,34,1939,2010
Mean 3pm wind speed (km/h) for years 1939 to 2010 ,23.6,21.6,20.4,20.1,19.8,19.9,22,23.1,23.8,23.3,23.1,23.5,22,39,1939,2010
