Statistic Element,January,February,March,April,May,June,July,August,September,October,November,December,Annual,Number of Years,Start Year,End Year
Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2018 ,24.6,21.3,16.5,11.1,7.3,6,6.8,9.8,13.5,18.1,21.8,24.3,15.1,28,1990,2018
Mean number of clear days for years 1962 to 1975 ,5.8,4.9,5.9,4.5,3.1,3.2,2.8,3.1,3.3,2.7,3.4,3.6,46.3,13,1962,1975
Mean number of cloudy days for years 1962 to 1975 ,6.1,6.3,8.2,9.3,14,10.6,13.1,12.2,10.8,12.3,10.1,8.8,121.8,13,1962,1975
Mean daily evaporation (mm) for years null to null , , , , , , , , , , , , , ,, , 
Mean 9am temperature (Degrees C) for years 1919 to 1975 ,19.1,19.1,17.8,15,12.3,9.8,9.1,9.8,11.8,14,15.8,17.7,14.3,43,1919,1975
Mean 9am wet bulb temperature (Degrees C) for years 1919 to 1975 ,15.5,16,14.9,12.8,10.8,8.6,7.9,8.4,10,11.7,13.1,14.5,12,43,1919,1975
Mean 9am dew point temperature (Degrees C) for years 1962 to 1963 , , , , , , , , , , , , , ,2,1962,1963
Mean 9am relative humidity (%) for years 1919 to 1963 ,68,72,73,78,83,86,85,83,80,77,73,70,77,32,1919,1963
Mean 9am cloud cover (okas) for years 1932 to 1975 ,4,4.1,4.4,4.9,4.9,5.1,5.1,4.9,4.5,4.8,4.7,4.7,4.7,38,1932,1975
Mean 9am wind speed (km/h) for years 1962 to 1975 ,15.3,14.5,14.3,16,15.7,16.3,18.9,16.9,17.2,15.6,17.7,16.5,16.2,12,1962,1975
Mean 3pm temperature (Degrees C) for years 1962 to 1975 ,24.6,24.5,22.4,19.3,15.4,13,12.3,13.2,14.8,17.2,19.1,21.5,18.1,13,1962,1975
Mean 3pm wet bulb temperature (Degrees C) for years 1962 to 1975 ,17.7,18.2,16.8,14.8,12.4,10.5,9.8,10.4,11.4,13,14.3,15.7,13.8,13,1962,1975
Mean 3pm dew point temperature (Degrees C) for years 1962 to 1963 , , , , , , , , , , , , , ,2,1962,1963
Mean 3pm relative humidity (%) for years 1962 to 1963 , , , , , , , , , , , , , ,2,1962,1963
Mean 3pm cloud cover (oktas) for years 1962 to 1975 ,3.5,3.6,4.1,4.7,5.5,5.3,5.3,5.4,5,5.2,4.8,4.3,4.7,13,1962,1975
Mean 3pm wind speed (km/h) for years 1962 to 1975 ,16.4,16.4,14.6,15.5,15.9,16.9,18.7,16,16.7,15.8,19.2,18.5,16.7,10,1962,1975
